City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mont-de-marsan,44.0,-0.6667,282.47,97,75,3.09,FR,1710118682
83,sremska mitrovica,44.9764,19.6122,288.66,35,100,7.5,RS,1710118682
84,porbandar,21.6422,69.6093,295.71,55,0,3.76,IN,1710118684
85,severo-yeniseyskiy,60.3725,93.0408,270.14,98,100,3.13,RU,1710118684
86,sinabang,2.4803,96.3801,300.89,73,55,0.13,ID,1710118684
87,zaanstad,52.4531,4.8125,281.48,79,0,3.6,NL,1710118684
88,cambria,35.5641,-121.0808,289.95,78,21,2.68,US,1710118685
89,sao tome,0.3365,6.7273,301.31,80,100,3.2,ST,1710118685
90,south hedland,-20.4089,118.5983,304.11,79,100,0.0,AU,1710118685
91,wanxian,30.8039,108.3897,286.25,81,100,1.67,CN,1710118685
92,hadibu,12.65,54.0333,298.64,79,6,1.35,YE,1710118686
93,tura,25.5198,90.2201,291.62,35,0,1.44,IN,1710118686
94,mount pearl,47.5166,-52.7813,271.46,90,100,4.12,CA,1710118686
95,blackmans bay,-43.0167,147.3167,291.22,94,100,0.45,AU,1710118686
96,cabo san lucas,22.8909,-109.9124,296.27,70,57,1.34,MX,1710118674
97,otukpa,7.0892,7.6499,301.18,59,96,3.24,NG,1710118687
98,college,64.8569,-147.8028,260.41,47,75,5.66,US,1710118393
99,ziro,27.6333,93.8333,276.56,72,0,1.02,IN,1710118687
100,siyabuswa,-25.1132,29.0445,294.7,57,0,2.03,ZA,1710118687
101,bilibino,68.0546,166.4372,254.59,92,99,1.19,RU,1710118688
102,belyy yar,53.6039,91.3903,275.09,75,0,4.0,RU,1710118688
103,nova sintra,14.8667,-24.7167,292.44,76,70,7.65,CV,1710118688
104,fuerte olimpo,-21.0415,-57.8738,300.42,73,87,3.21,PY,1710118689
105,fort scott,37.8398,-94.7083,286.44,54,0,3.94,US,1710118689
106,al ghayzah,16.2079,52.176,298.51,85,4,1.58,YE,1710118689
107,st. john's,47.5649,-52.7093,271.92,90,100,4.12,CA,1710118667
108,lepsy,46.235,78.9456,272.17,94,97,1.6,KZ,1710118689
109,sukuta,13.4103,-16.7082,296.16,60,34,3.09,GM,1710118690
110,tanah merah,5.8,102.15,297.05,79,68,1.24,MY,1710118690
111,kapuskasing,49.4169,-82.4331,270.2,50,0,6.17,CA,1710118690
112,sosnovo-ozerskoye,52.5249,111.5418,261.18,96,94,3.61,RU,1710118691
113,thompson,55.7435,-97.8558,276.24,56,20,3.6,CA,1710118432
114,papatowai,-46.5619,169.4708,285.37,69,100,6.95,NZ,1710118691
115,kodiak,57.79,-152.4072,270.88,69,100,5.14,US,1710118691
116,saipan,15.1355,145.701,302.54,65,40,7.72,MP,1710118692
117,dryden,49.7833,-92.7503,276.31,35,0,4.63,CA,1710118692
118,cascais,38.6979,-9.4215,286.45,87,89,0.89,PT,1710118692
119,san patricio,28.017,-97.5169,291.07,53,100,3.71,US,1710118692
120,nar'yan-mar,67.6713,53.087,255.99,95,100,4.47,RU,1710118693
121,isafjordur,66.0755,-23.124,272.56,76,100,1.23,IS,1710118693
122,horsham,51.064,-0.3272,281.62,87,75,1.54,GB,1710118693
123,santo antonio do ica,-3.1022,-67.9397,297.41,98,100,1.18,BR,1710118694
124,minab,27.1467,57.0801,292.52,83,4,0.76,IR,1710118403
125,ilulissat,69.2167,-51.1,247.42,100,66,1.73,GL,1710118694
126,anadyr,64.75,177.4833,249.43,83,20,3.0,RU,1710118694
127,forio,40.7342,13.8646,286.31,90,100,2.24,IT,1710118695
128,bedarieux,43.6155,3.1571,282.44,81,92,4.49,FR,1710118695
129,kyaka,-1.2522,31.4203,290.63,92,45,0.76,TZ,1710118695
130,edinburgh of the seven seas,-37.0676,-12.3116,289.21,70,92,6.34,SH,1710118695
131,susuman,62.7833,148.1667,250.36,91,87,1.34,RU,1710118696
132,pacific grove,36.6177,-121.9166,287.83,73,0,4.12,US,1710118696
133,walvis bay,-22.9575,14.5053,291.68,88,85,2.06,NA,1710118565
134,bulungu,-4.55,18.6,295.36,97,100,0.56,CD,1710118697
135,mafeteng,-29.823,27.2374,291.31,23,0,2.15,LS,1710118698
136,antigonish,45.6169,-61.9986,274.34,95,100,3.58,CA,1710118698
137,porto novo,6.4965,2.6036,300.87,84,71,3.75,BJ,1710118699
138,new norfolk,-42.7826,147.0587,291.88,91,100,1.01,AU,1710118699
139,el matama,16.7095,33.3565,300.64,10,2,3.36,SD,1710118699
140,sinop,41.7711,34.8709,275.44,85,1,3.1,TR,1710118699
141,zakamensk,50.3741,103.2863,262.66,89,74,1.54,RU,1710118700
142,tiksi,71.6872,128.8694,245.68,98,77,1.77,RU,1710118700
143,vrontados,38.4089,26.1328,286.23,67,100,1.51,GR,1710118700
144,vorkuta,67.5,64.0,244.28,100,91,1.97,RU,1710118700
145,quellon,-43.1167,-73.6167,285.56,90,100,2.29,CL,1710118701
146,byron bay,-28.65,153.6167,297.99,57,3,6.23,AU,1710118701
147,san-pedro,4.7485,-6.6363,299.78,92,68,2.24,CI,1710118701
148,necochea,-38.5473,-58.7368,296.13,38,100,3.39,AR,1710118701
149,narasannapeta,18.4167,84.05,297.56,76,7,1.13,IN,1710118702
150,ust-nera,64.5667,143.2,253.42,91,98,0.66,RU,1710118702
151,tsengel,49.4783,100.8894,260.28,82,27,1.89,MN,1710118702
152,den burg,53.0542,4.7972,280.35,90,100,6.69,NL,1710118702
153,katabu,-4.9333,122.5167,299.25,89,100,2.2,ID,1710118703
154,newman,37.3138,-121.0208,291.64,56,100,3.75,US,1710118703
155,candelaria,13.9311,121.4233,298.92,62,77,4.06,PH,1710118704
156,luderitz,-26.6481,15.1594,291.49,74,7,5.28,NA,1710118704
157,whitehorse,60.7161,-135.0538,275.58,35,75,5.66,CA,1710118704
